"Deployment_ID","X","Y"
"BAC.TRMR_Rec002_Mem049.20200901",-112.65726,48.08463
"BAC.TRMR_Rec004_Mem102.20200831",-112.68894,48.09406
"BAC.TRMR_Rec014_Mem020.20200831",-112.72936,48.07463
"BAC.TRMR_Rec025_Mem076.20200831",-112.73686,48.06622
"BAC.TRMR_Rec039_Mem094.20200831",-112.73944,48.08772
"BAC.TRMR_Rec041_Mem099.20200831",-112.70779,48.09295
"BAC.TRMR_Rec043_Mem081.20200901",-112.66609,48.09672
"BAC.TRMR_Rec044_Mem065.20200831",-112.73207,48.08363
"BAC.TRMR_Rec046_Mem107.20200901",-112.67028,48.08761
"BAC.TRMR_Rec050_Mem060.20200831",-112.7211,48.07745
"BAC.TRMR_Rec051_Mem036.20200831",-112.72256,48.08408
"BAC.TRMR_Rec052_Mem038.20200901",-112.677,48.08859
"BAC.TRMR_Rec058_Mem097.20200831",-112.72783,48.06424
"BAC.TRMR_Rec063_Mem079.20200831",-112.72646,48.05622
"BAC.TRMR_Rec064_Mem061.20200831",-112.73936,48.05618
"C06",-71.5265907,41.4962147
"C12",-71.52239,41.49158
"CA_Forest_Pepperwood_Preserve_20_01",-122.724,38.6053
"CA_Forest_Pepperwood_Preserve_20_02_reupload",-122.7125,38.6051
"CA_Forest_Pepperwood_Preserve_20_03",-122.7352,38.5966
"CA_Forest_Pepperwood_Preserve_20_04",-122.7245,38.5962
"CA_Forest_Pepperwood_Preserve_20_06",-122.7129,38.5962
"CA_Forest_Pepperwood_Preserve_20_07",-122.7013,38.5961
"CA_Forest_Pepperwood_Preserve_20_08",-122.72355,38.58761
"CA_Forest_Pepperwood_Preserve_20_09",-122.70147,38.58715
"CA_Forest_Pepperwood_Preserve_20_10",-122.72415,38.56913
"CA_Forest_Pepperwood_Preserve_20_11",-122.6896,38.5871
"CA_Forest_Pepperwood_Preserve_20_12",-122.68996,38.57803
"CA_Forest_Pepperwood_Preserve_20_13",-122.73609,38.56841
"CA_Forest_Sierra Nevada_20_01",-119.59993,37.41507
"CA_Forest_Sierra Nevada_20_02",-119.59964,37.41716
"CA_Forest_Sierra Nevada_20_03",-119.59771,37.41382
"CA_Forest_Sierra Nevada_20_04",-119.59614,37.41171
"CA_Forest_Sierra Nevada_20_05",-119.59627,37.41618
"CA_Forest_Sierra Nevada_20_06",-119.59508,37.41854
"CA_Forest_Sierra Nevada_20_07",-119.59515,37.42293
"CA_Forest_Sierra Nevada_20_08",-119.59953,37.41197
"CA_Grassland_Carrizo Plains_20_01",-120.01558,35.38726
"CA_Grassland_Carrizo Plains_20_02",-120.05406,35.33724
"CA_Grassland_Carrizo Plains_20_03",-119.99775,35.35845
"CA_Grassland_Carrizo Plains_20_06",-120.01926,35.36669
"CA_Grassland_Carrizo Plains_20_08",-119.9763,35.36948
"CA_Grassland_Carrizo Plains_20_09",-120.05846,35.33703
"CA_Grassland_Carrizo Plains_20_11",-120.0056,35.35992
"CA_Grassland_Carrizo Plains_20_13",-120.01302,35.37875
"CA_Grassland_Carrizo Plains_20_14",-119.99134,35.36459
"CO_GrasslandOak_USAFA_20_01",-104.87861,38.97333
"CO_GrasslandOak_USAFA_20_03",-104.88262,38.9734
"CO_GrasslandOak_USAFA_20_05",-104.88602,38.97598
"CO_GrasslandOak_USAFA_20_06",-104.90447,39.0064
"CO_GrasslandOak_USAFA_20_07",-104.90972,39.01472
"CO_GrasslandOak_USAFA_20_08",-104.9065,39.00955
"CO_GrasslandOak_USAFA_20_10",-104.8991,39.00763
"CO_GrasslandOak_USAFA_20_11",-104.85388,38.98338
"CO_GrasslandOak_USAFA_20_12",-104.85142,38.98335
"CO_GrasslandOak_USAFA_20_13",-104.84843,38.9838
"CO_GrasslandOak_USAFA_20_14",-104.84615,38.9845
"CO_GrasslandOak_USAFA_20_15",-104.90383,39.00095
"CO_GrasslandOak_USAFA_20_17",-104.85232,39.01517
"CO_GrasslandOak_USAFA_20_18",-104.85245,39.01088
"CO_GrasslandOak_USAFA_20_19",-104.86871,38.99826
"CO_GrasslandOak_USAFA_20_20",-104.84945,39.02988
"CO_GrasslandOak_USAFA_20_21",-104.8545,39.02872
"CO_GrasslandOak_USAFA_20_22",-104.87277,39.03328
"CO_GrasslandOak_USAFA_20_23",-104.86812,39.03133
"CO_GrasslandOak_USAFA_20_24",-104.85213,39.03565
"Days Fork Trail.USA.2020",-111.62922,40.66034
"Desolation Wasatch.USA.2020",-111.7233,40.67523
"FL_Forest_Melrose_20_02",-81.98953,29.7039
"FL_Forest_Melrose_20_03",-81.99015,29.69976
"FL_Forest_Melrose_20_04",-81.9674,29.70594
"FL_Forest_Melrose_20_05",-81.98541,29.70696
"FL_Forest_Melrose_20_06",-81.97179,29.6947
"FL_Forest_Melrose_20_08",-81.96809,29.69987
"FL_Forest_Melrose_20_09",-81.96725,29.70266
"FL_Forest_Melrose_20_11",-81.98692,29.6996
"FL_Forest_Melrose_20_13",-81.96803,29.70885
"FL_Forest_Melrose_20_14",-81.98752,29.70546
"FL_Forest_Melrose_20_15",-81.98401,29.69838
"LC_03.Fall.USA.2020",-111.75294,40.57016
"Lake Blanche.USA.2020",-111.69187,40.60809
"Little Cottonwood.Dpat.USA.2020",-111.69864,40.57301
"MA_Forest_Grafton_20_01",-71.70292,42.21875
"MA_Forest_Grafton_20_03",-71.705,42.21676
"MA_Forest_Grafton_20_04",-71.70508,42.21343
"MA_Forest_Grafton_20_05",-71.70272,42.21138
"MA_Forest_Grafton_20_07",-71.70018,42.21571
"MA_Forest_Tufts_20_01",-71.67818,42.24144
"MA_Forest_Tufts_20_05",-71.66779,42.25488
"MA_Forest_Tufts_20_06",-71.66897,42.24466
"MA_Forest_Tufts_20_07",-71.67828,42.24364
"MA_Forest_Tufts_20_08",-71.68695,42.23681
"MA_Forest_Tufts_20_11",-71.67016,42.24858
"MA_Forest_Tufts_20_12",-71.68355,42.24234
"MA_Forest_Tufts_20_13",-71.68349,42.24006
"MA_Forest_Tufts_20_14",-71.68394,42.23641
"ME_Forest_Piscataquis_County_20_01",-68.6642,44.8971
"ME_Forest_Piscataquis_County_20_02",-68.6613,44.9066
"ME_Forest_Piscataquis_County_20_03",-68.6616,44.9084
"ME_Forest_Piscataquis_County_20_04",-68.66321,44.91004
"ME_Forest_Piscataquis_County_20_05",-68.66475,44.91182
"ME_Forest_Piscataquis_County_20_07",-68.6679,44.9148
"ME_Forest_Piscataquis_County_20_09",-68.6643,44.8952
"MI_Forest_Upper_Peninsula_20_01",-87.5092,46.6539
"MI_Forest_Upper_Peninsula_20_03",-87.5636,46.6764
"MI_Forest_Upper_Peninsula_20_04",-87.5203,46.6617
"MI_Forest_Upper_Peninsula_20_05",-87.4936,46.6349
"MI_Forest_Upper_Peninsula_20_06",-87.514,46.6426
"MI_Forest_Upper_Peninsula_20_07_reupload",-87.5323,46.6466
"MI_Forest_Upper_Peninsula_20_08",-87.5459,46.6488
"MI_Forest_Upper_Peninsula_20_10",-87.5638,46.6387
"MI_Forest_Upper_Peninsula_20_11",-87.6101,46.6331
"MI_Forest_Upper_Peninsula_20_12",-87.6062,46.6241
"MI_Forest_Upper_Peninsula_20_13",-87.5914,46.636
"MI_Forest_Upper_Peninsula_20_14",-87.5909,46.6458
"MI_Forest_Upper_Peninsula_20_15",-87.5546,46.6647
"MI_Forest_Upper_Peninsula_20_16",-87.5692,46.6575
"MI_Forest_Upper_Peninsula_20_17",-87.5709,46.667
"MI_Forest_Upper_Peninsula_20_18",-87.5859,46.668
"MI_Forest_Upper_Peninsula_20_19",-87.4807,46.6276
"MI_Forest_Upper_Peninsula_20_20",-87.4974,46.6248
"MI_Forest_Upper_Peninsula_20_22",-87.5487,46.6083
"MI_Forest_Upper_Peninsula_20_23",-87.5485,46.6107
"MI_Forest_Upper_Peninsula_20_24",-87.5506,46.6204
"MI_Forest_Upper_Peninsula_20_25",-87.532,46.6208
"MI_Forest_Upper_Peninsula_20_28",-87.4728,46.6084
"MI_Forest_Upper_Peninsula_20_29",-87.4696,46.5989
"MI_Forest_Upper_Peninsula_20_30",-87.49,46.6014
"MI_Forest_Upper_Peninsula_2_20_10b",-88.32997,46.23294
"MI_Forest_Upper_Peninsula_2_20_11b",-88.28762,46.22338
"MI_Forest_Upper_Peninsula_2_20_12b",-88.21314,46.21864
"MI_Forest_Upper_Peninsula_2_20_13b",-88.2013,46.23143
"MI_Forest_Upper_Peninsula_2_20_14b",-88.32473,46.24751
"MI_Forest_Upper_Peninsula_2_20_15b",-88.25655,46.2492
"MI_Forest_Upper_Peninsula_2_20_16b",-88.17546,46.25086
"MI_Forest_Upper_Peninsula_2_20_17b",-88.3508,46.26158
"MI_Forest_Upper_Peninsula_2_20_18b",-88.23572,46.26542
"MI_Forest_Upper_Peninsula_2_20_1b",-88.23905,46.19967
"MI_Forest_Upper_Peninsula_3_20_01",-88.80015,46.07089
"MI_Forest_Upper_Peninsula_3_20_02",-88.82438,46.06691
"MI_Forest_Upper_Peninsula_3_20_03",-88.83596,46.07346
"MI_Forest_Upper_Peninsula_3_20_04",-88.85117,46.07341
"MI_Forest_Upper_Peninsula_3_20_05",-88.88202,46.06526
"MI_Forest_Upper_Peninsula_3_20_06",-88.82461,46.0494
"MI_Forest_Upper_Peninsula_3_20_07",-88.80464,46.05611
"MI_Forest_Upper_Peninsula_3_20_08",-88.7713,46.12679
"MI_Forest_Upper_Peninsula_3_20_09",-88.74676,46.11996
"MI_Forest_Upper_Peninsula_3_20_10",-88.74247,46.10178
"MI_Forest_Upper_Peninsula_3_20_11",-88.73163,46.12554
"MI_Forest_Upper_Peninsula_3_20_12",-88.70522,46.09298
"MI_Forest_Upper_Peninsula_3_20_13",-88.7352,46.08171
"MI_Forest_Upper_Peninsula_3_20_14",-88.75487,46.08025
"MI_Forest_Upper_Peninsula_3_20_15",-88.76341,46.06936
"MI_Forest_Upper_Peninsula_3_20_16",-88.75284,46.04333
"MI_Forest_Upper_Peninsula_3_20_17",-88.75005,46.05425
"MI_Forest_Upper_Peninsula_3_20_18",-88.77703,46.04796
"MI_Forest_Upper_Peninsula_3_20_19",-88.84358,46.14239
"MI_Forest_Upper_Peninsula_3_20_21",-88.81637,46.15617
"MI_Forest_Upper_Peninsula_3_20_22",-88.83399,46.16145
"MI_Forest_Upper_Peninsula_3_20_23",-88.79813,46.15193
"MI_Forest_Upper_Peninsula_3_20_24",-88.78148,46.15336
"MI_Forest_Upper_Peninsula_3_20_25",-88.79331,46.08116
"MI_Forest_Upper_Peninsula_3_20_26",-88.79153,46.09317
"MI_Forest_Upper_Peninsula_3_20_27",-88.80826,46.09148
"MI_Forest_Upper_Peninsula_3_20_28",-88.81528,46.08186
"MI_Forest_Upper_Peninsula_3_20_29",-88.72276,46.05414
"MI_Forest_Upper_Peninsula_3_20_30",-88.7903,46.11569
"MI_Forest_Upper_Peninsula_3_20_31",-88.83264,46.11493
"MI_Forest_Upper_Peninsula_3_20_32",-88.8326,46.10382
"MI_Forest_Upper_Peninsula_3_20_33",-88.84755,46.10045
"MI_Forest_Upper_Peninsula_3_20_34",-88.85232,46.09116
"MI_Forest_Upper_Peninsula_3_20_35",-88.8657,46.08734
"MI_Forest_Upper_Peninsula_3_20_36",-88.86445,46.10658
"MI_Forest_Upper_Peninsula_3_20_37",-88.87608,46.09911
"MI_Forest_Upper_Peninsula_3_20_38",-88.90433,46.12063
"MI_Forest_Upper_Peninsula_3_20_39",-88.89953,46.09151
"MI_Forest_Upper_Peninsula_3_20_40",-88.90196,46.07331
"MO_Forest_Bull_Shoals_20_03",-93.06698,36.56997
"MO_Forest_Bull_Shoals_20_04",-93.0697,36.56521
"MO_Forest_Bull_Shoals_20_05",-93.06557,36.56168
"MO_Forest_Bull_Shoals_20_06",-93.07422,36.56818
"MO_Forest_Bull_Shoals_20_07",-93.0795,36.56585
"MO_Forest_Bull_Shoals_20_08",-93.09068,36.57464
"MO_Forest_Bull_Shoals_20_10",-93.07447,36.56608
"MO_Forest_Bull_Shoals_20_1_reupload",-93.05653,36.57266
"MO_Forest_Bull_Shoals_20_2_reupload",-93.06231,36.57335
"MT_Forest_River_Trail_20_01A",-114.4659,48.4107
"MT_Forest_River_Trail_20_02",-114.45938,48.40814
"MT_Forest_River_Trail_20_05",-114.46065,48.41066
"MT_Forest_River_Trail_20_06",-114.4659,48.40695
"MT_Forest_River_Trail_20_09",-114.45606,48.40878
"NC_Anthropogenic_WCU_20_02",-83.1797,35.3096
"NC_Anthropogenic_WCU_20_05",-83.17269,35.29987
"NC_Anthropogenic_WCU_20_07",-83.18861,35.31719
"NC_Anthropogenic_WCU_20_08",-83.20399,35.30488
"NC_Anthropogenic_WCU_20_09",-83.24858,35.36318
"NC_Anthropogenic_WCU_20_12",-83.17753,35.30864
"NC_Anthropogenic_WCU_20_13",-83.1891,35.3117
"NC_Anthropogenic_WCU_20_14",-83.21022,35.33536
"NC_Forest_Alligator_River_NWR_20_02",-75.9502,35.81901
"NC_Forest_Alligator_River_NWR_20_03",-75.94646,35.80048
"NC_Forest_Alligator_River_NWR_20_04",-75.9,35.8
"NC_Forest_Alligator_River_NWR_20_06",-75.88709,35.82808
"NC_Forest_Alligator_River_NWR_20_10",-75.8214,35.7777
"NC_Forest_Alligator_River_NWR_20_15",-75.9459,35.8589
"NC_Forest_Mt_Glum_20_01",-82.29918,35.49598
"NC_Forest_Mt_Glum_20_03",-82.29739,35.49951
"NC_Forest_Mt_Glum_20_04",-82.30057,35.50008
"NC_Forest_Mt_Glum_20_05",-82.29875,35.5011
"NC_Forest_Mt_Glum_20_06",-82.30364,35.50368
"NC_Forest_Mt_Glum_20_07",-82.30597,35.50377
"NC_Forest_Mt_Glum_20_09",-82.30605,35.50102
"NC_Forest_Mt_Glum_20_10",-82.30341,35.5018
"NC_Forest_Mt_Glum_20_15",-82.29733,35.49712
"NC_Forest_Seven_Devils_20_02",-81.82858,36.13566
"NC_Forest_Seven_Devils_20_03",-81.83013,36.13424
"NC_Forest_Seven_Devils_20_04",-81.83162,36.13276
"NC_Forest_Seven_Devils_20_05",-81.83424,36.13107
"NC_Forest_Seven_Devils_20_07",-81.82574,36.13639
"NC_Forest_Seven_Devils_20_08",-81.82464,36.14048
"NC_Forest_Seven_Devils_20_09",-81.82354,36.13705
"NC_Forest_Seven_Devils_20_10",-81.82582,36.13855
"NC_Forest_Seven_Devils_20_12",-81.82169,36.13992
"NC_Forest_Seven_Devils_20_13",-81.8198,36.14107
"NC_Forest_Seven_Devils_20_14",-81.81828,36.14244
"NC_Forest_Seven_Devils_20_15",-81.81525,36.14339
