"Deployment_ID","X","Y"
"MA_Forest_Grafton_20_05",1971161.2745787,2387921.4263188
"MA_Forest_Grafton_20_07",1971240.35214025,2388442.60826306
"MA_Forest_Tufts_20_01",1972257.50412115,2391682.84838266
"MA_Forest_Tufts_20_05",1972700.91191772,2393352.50176358
"MA_Forest_Tufts_20_06",1972896.76766397,2392222.37515187
"MA_Forest_Tufts_20_07",1972187.29326096,2391918.78446042
"MA_Forest_Tufts_20_08",1971692.9565198,2390999.95363372
"MA_Forest_Tufts_20_11",1972691.38649498,2392621.75263562
"MA_Forest_Tufts_20_12",1971806.12393513,2391668.78470906
"MA_Forest_Tufts_20_13",1971875.41363237,2391423.35930233
"MA_Forest_Tufts_20_14",1971943.02676328,2391019.13132524
"ME_Forest_Piscataquis_County_20_01",2126196.28909111,2742189.43265893
"ME_Forest_Piscataquis_County_20_02",2126115.59162309,2743268.24942504
"ME_Forest_Piscataquis_County_20_03",2126036.06629465,2743453.64870299
"ME_Forest_Piscataquis_County_20_04",2125862.5476017,2743592.66620436
"ME_Forest_Piscataquis_County_20_05",2125689.90645783,2743748.19457363
"ME_Forest_Piscataquis_County_20_07",2125357.66060999,2743995.79205362
"ME_Forest_Piscataquis_County_20_09",2126248.72207463,2741984.40455271
"MI_Forest_Upper_Peninsula_20_01",651316.948850889,2658485.87319386
"MI_Forest_Upper_Peninsula_20_03",646934.032276727,2660596.89247605
"MI_Forest_Upper_Peninsula_20_04",650390.747947073,2659270.48896564
"MI_Forest_Upper_Peninsula_20_05",652698.56460164,2656496.42036349
"MI_Forest_Upper_Peninsula_20_06",651061.36217711,2657206.13021446
"MI_Forest_Upper_Peninsula_20_07_reupload",649621.642234934,2657522.27107111
"MI_Forest_Upper_Peninsula_20_08",648559.386038625,2657672.13779754
"MI_Forest_Upper_Peninsula_20_10",647288.991051201,2656435.59395182
"MI_Forest_Upper_Peninsula_20_11",643800.465792064,2655503.10947431
"MI_Forest_Upper_Peninsula_20_12",644186.909121049,2654536.31985298
"MI_Forest_Upper_Peninsula_20_13",645203.280940949,2655949.9591255
"MI_Forest_Upper_Peninsula_20_14",645145.603177886,2657034.79965343
"MI_Forest_Upper_Peninsula_20_15",647737.395561942,2659367.24007982
"MI_Forest_Upper_Peninsula_20_16",646691.226088527,2658473.34755864
"MI_Forest_Upper_Peninsula_20_17",646467.947686608,2659510.03219692
"MI_Forest_Upper_Peninsula_20_18",645310.741236816,2659518.42657844
"MI_Forest_Upper_Peninsula_20_19",653758.138639664,2655779.57875341
"MI_Forest_Upper_Peninsula_20_20",652507.748297401,2655355.8360565
"MI_Forest_Upper_Peninsula_20_22",648743.64952884,2653183.7989654
"MI_Forest_Upper_Peninsula_20_23",648735.344807725,2653450.02315171
"MI_Forest_Upper_Peninsula_20_24",648479.148697066,2654506.14302327
"MI_Forest_Upper_Peninsula_20_25",649898.952034547,2654677.34434828
"MI_Forest_Upper_Peninsula_20_28",654553.362286158,2653715.28540161
"MI_Forest_Upper_Peninsula_20_29",654892.691421538,2652688.98945512
"MI_Forest_Upper_Peninsula_20_30",653305.972368452,2652824.46399055
"MI_Forest_Upper_Peninsula_2_20_10b",592263.081363304,2606619.97181622
"MI_Forest_Upper_Peninsula_2_20_11b",595612.056512135,2605827.71294367
"MI_Forest_Upper_Peninsula_2_20_12b",601394.218127596,2605772.74447869
"MI_Forest_Upper_Peninsula_2_20_13b",602190.30034691,2607261.65076849
"MI_Forest_Upper_Peninsula_2_20_14b",592536.444528072,2608263.43987824
"MI_Forest_Upper_Peninsula_2_20_15b",597773.131429632,2608877.25362691
"MI_Forest_Upper_Peninsula_2_20_16b",604003.836922656,2609573.48082555
"MI_Forest_Upper_Peninsula_2_20_17b",590402.704847741,2609656.66005231
"MI_Forest_Upper_Peninsula_2_20_18b",599230.760202345,2610801.44557359
"MI_Forest_Upper_Peninsula_2_20_1b",599569.254476258,2603511.77098048
"MI_Forest_Upper_Peninsula_3_20_01",557389.358720556,2585852.19983922
"MI_Forest_Upper_Peninsula_3_20_02",555550.43888248,2585269.91548007
"MI_Forest_Upper_Peninsula_3_20_03",554600.85078084,2585927.07286967
"MI_Forest_Upper_Peninsula_3_20_04",553426.016854674,2585832.87059952
"MI_Forest_Upper_Peninsula_3_20_05",551109.921911624,2584751.71966295
"MI_Forest_Upper_Peninsula_3_20_06",555679.243782752,2583330.93344598
"MI_Forest_Upper_Peninsula_3_20_07",557166.488759893,2584190.38517241
"MI_Forest_Upper_Peninsula_3_20_08",559147.172078457,2592206.60945595
"MI_Forest_Upper_Peninsula_3_20_09",561099.467773485,2591595.62605474
"MI_Forest_Upper_Peninsula_3_20_10",561584.592968487,2589609.61519413
"MI_Forest_Upper_Peninsula_3_20_11",562220.314307791,2592302.36841334
"MI_Forest_Upper_Peninsula_3_20_12",564536.214079853,2588856.70486823
"MI_Forest_Upper_Peninsula_3_20_13",562316.128268582,2587432.04249804
"MI_Forest_Upper_Peninsula_3_20_14",560808.908939426,2587154.26877845
"MI_Forest_Upper_Peninsula_3_20_15",560241.082706716,2585898.94212733
"MI_Forest_Upper_Peninsula_3_20_16",561277.879750727,2583080.99930118
"MI_Forest_Upper_Peninsula_3_20_17",561401.177368894,2584305.83552551
"MI_Forest_Upper_Peninsula_3_20_18",559369.012023965,2583450.71740797
"MI_Forest_Upper_Peninsula_3_20_19",553436.651058692,2593509.38959864
"MI_Forest_Upper_Peninsula_3_20_21",555421.458939802,2595192.62743466
"MI_Forest_Upper_Peninsula_3_20_22",554017.578809405,2595673.89030233
"MI_Forest_Upper_Peninsula_3_20_23",556864.650266751,2594830.3096526
"MI_Forest_Upper_Peninsula_3_20_24",558137.552075874,2595086.18045446
"MI_Forest_Upper_Peninsula_3_20_25",557831.533442788,2587028.71837273
"MI_Forest_Upper_Peninsula_3_20_26",557868.058100437,2588368.03789204
"MI_Forest_Upper_Peninsula_3_20_27",556589.966227958,2588082.94933797
"MI_Forest_Upper_Peninsula_3_20_28",556128.331832393,2586977.40932581
"MI_Forest_Upper_Peninsula_3_20_29",563511.192933477,2584455.18026484
"MI_Forest_Upper_Peninsula_3_20_30",557773.673577943,2590866.90419894
"MI_Forest_Upper_Peninsula_3_20_31",554510.652805284,2590535.04067602
"MI_Forest_Upper_Peninsula_3_20_32",554606.627799938,2589306.0233775
"MI_Forest_Upper_Peninsula_3_20_33",553480.11544226,2588845.98602514
"MI_Forest_Upper_Peninsula_3_20_34",553189.153282637,2587790.27959859
"MI_Forest_Upper_Peninsula_3_20_35",552187.358526358,2587289.77344566
"MI_Forest_Upper_Peninsula_3_20_36",552123.775324343,2589425.9491115
"MI_Forest_Upper_Peninsula_3_20_37",551287.651065462,2588531.88445061
"MI_Forest_Upper_Peninsula_3_20_38",548927.462097295,2590749.51313065
"MI_Forest_Upper_Peninsula_3_20_39",549539.297041985,2587555.1048912
"MI_Forest_Upper_Peninsula_3_20_40",549502.282223838,2585527.07756913
"MO_Forest_Bull_Shoals_20_03",260022.388058143,1506589.65597294
"MO_Forest_Bull_Shoals_20_04",259797.766542271,1506049.23478893
"MO_Forest_Bull_Shoals_20_05",260176.020924251,1505665.27668698
"MO_Forest_Bull_Shoals_20_06",259386.91255374,1506369.44218141
"MO_Forest_Bull_Shoals_20_07",258926.978387356,1506094.15038608
"MO_Forest_Bull_Shoals_20_08",257905.946793244,1507047.98174146
"MO_Forest_Bull_Shoals_20_10",259371.996538422,1506133.62026325
"MO_Forest_Bull_Shoals_20_1_reupload",260939.188909484,1506919.50094234
"MO_Forest_Bull_Shoals_20_2_reupload",260424.565120166,1506980.906081
"MT_Forest_River_Trail_20_01A",-1372001.76358588,2957134.44149371
"MT_Forest_River_Trail_20_02",-1371577.84703395,2956763.76826295
"MT_Forest_River_Trail_20_05",-1371617.46240358,2957054.33625512
"MT_Forest_River_Trail_20_06",-1372081.48688035,2956729.32899064
"MT_Forest_River_Trail_20_09",-1371320.67324375,2956784.99693515
"NC_Anthropogenic_WCU_20_02",1152281.04871632,1439287.19635349
"NC_Anthropogenic_WCU_20_05",1153053.81318046,1438293.15438712
"NC_Anthropogenic_WCU_20_07",1151370.91216116,1440020.96001539
"NC_Anthropogenic_WCU_20_08",1150182.01382228,1438469.48170939
