system:index,Deployment_ID,perc_hard_mast_1000,perc_soft_mast_1000,perc_total_forest_1000,.geo
00000000000000000000,BAC.TRMR_Rec002_Mem049.20200901,0,5.250067642100443,0,"{""type"":""Polygon"",""coordinates"":[[[-112.65725732455397,48.09362589376405],[-112.66102050510956,48.09326767747324],[-112.66448398948636,48.09222155690276],[-112.66737198322411,48.09057084164431],[-112.66945457837977,48.088446979146894],[-112.67056606156166,48.086019075729396],[-112.67061808559306,48.08348042109166],[-112.6696066623282,48.08103309353815],[-112.66761243237183,48.07887187411743],[-112.66479420513082,48.077168750239885],[-112.66137629617552,48.07605923972662],[-112.65763067651842,48.07563161944975],[-112.65385535321775,48.075919911019604],[-112.6503506930099,48.07690117795441],[-112.64739555958602,48.07849734782974],[-112.64522514950356,48.08058141548431],[-112.64401228055947,48.08298753704695],[-112.64385361893495,48.08552421615842],[-112.64476194657874,48.08798953742907],[-112.64666509618309,48.09018723756423],[-112.64941165337429,48.09194233531915],[-112.65278298544574,48.09311507383495],[-112.65651064660918,48.09361206122991],[-112.65725732455397,48.09362589376405]]]}"
00000000000000000001,BAC.TRMR_Rec004_Mem102.20200831,0,26.444397805294873,0,"{""type"":""Polygon"",""coordinates"":[[[-112.68894369663977,48.10305689249207],[-112.69270756757243,48.10269867618093],[-112.69617168729663,48.101652555555766],[-112.69906021072637,48.10000184022535],[-112.70114318774303,48.097877977661184],[-112.70225487459024,48.09545007420295],[-112.70230690794492,48.09291141956323],[-112.70129529899779,48.090464092047085],[-112.69930070320153,48.0883028726914],[-112.6964819591192,48.08659974888629],[-112.69306342345384,48.085490238430275],[-112.68931711705538,48.08506261817759],[-112.68554110157244,48.085350909731005],[-112.68203579876244,48.08633217661391],[-112.67908012341252,48.087928346418046],[-112.67690931520087,48.09001241400435],[-112.6756962236429,48.09241853552294],[-112.67553753270255,48.094955214628335],[-112.67644602674056,48.09742053593278],[-112.67834952527396,48.09961823613106],[-112.68109658619366,48.101373333958755],[-112.68446853669273,48.10254607253421],[-112.68819688171094,48.10304305995715],[-112.68894369663977,48.10305689249207]]]}"
00000000000000000002,BAC.TRMR_Rec014_Mem020.20200831,0,17.777559367968472,0,"{""type"":""Polygon"",""coordinates"":[[[-112.7293609885882,48.08362858920221],[-112.7331234376992,48.08327037293297],[-112.73658624893457,48.08222425242043],[-112.73947368147122,48.08057353723823],[-112.7415558720506,48.07844967481155],[-112.74266713945192,48.076021771437205],[-112.74271915360545,48.07348311680158],[-112.74170792706823,48.07103578920849],[-112.73971408471395,48.06887456971884],[-112.73689640505891,48.067171445764515],[-112.733479160094,48.06606193519061],[-112.72973426802962,48.065634314888136],[-112.72595967808621,48.06592260647539],[-112.72245569870616,48.06690387346519],[-112.7195011394452,48.06850004341595],[-112.71733115117488,48.07058411114287],[-112.71611851808696,48.07299023275219],[-112.71595988752212,48.0755269118701],[-112.71686803887357,48.07799223310492],[-112.71877081879252,48.0801899331732],[-112.72151684229063,48.08194503085103],[-112.72488751914685,48.08311776930359],[-112.728614455776,48.083614756668936],[-112.7293609885882,48.08362858920221]]]}"
00000000000000000003,BAC.TRMR_Rec025_Mem076.20200831,0,7.503393942091558,0,"{""type"":""Polygon"",""coordinates"":[[[-112.7368611965601,48.07521872461542],[-112.7406230306791,48.07486050836431],[-112.74408527594322,48.073814387900505],[-112.74697223662706,48.07216367278241],[-112.74905408704231,48.07003981041522],[-112.75016517301724,48.06761190707717],[-112.75021717886547,48.06507325244332],[-112.74920611773506,48.062625924816935],[-112.74721260127313,48.060464705269325],[-112.74439538202347,48.05876158125045],[-112.74097869533576,48.057652070625544],[-112.7372344150248,48.057224450301526],[-112.73346044168163,48.05751274190342],[-112.7299570347355,48.05849400893947],[-112.72700295822557,48.06009017895368],[-112.72483332461111,48.06217424674142],[-112.72362088982891,48.06458036838999],[-112.7234622853787,48.0671170475133],[-112.72437028850511,48.06958236871802],[-112.72627275759588,48.07178006873004],[-112.72901833236962,48.07353516634304],[-112.73238845832682,48.074707904742425],[-112.73611478577405,48.07520489208286],[-112.7368611965601,48.07521872461542]]]}"
00000000000000000004,BAC.TRMR_Rec039_Mem094.20200831,0,12.385450018707319,0,"{""type"":""Polygon"",""coordinates"":[[[-112.73944301607004,48.09671605079407],[-112.74320642279514,48.096357834496615],[-112.74667011531359,48.09531171390821],[-112.74955828257998,48.093660998626184],[-112.75164100283442,48.0915371361069],[-112.75275255273766,48.08910923267606],[-112.75280457982339,48.086570578037666],[-112.75179309572849,48.084123250496404],[-112.74979874592192,48.08196203109699],[-112.74698034936218,48.08025890724318],[-112.74356223509484,48.07914939674866],[-112.73981639045928,48.078721776479725],[-112.73604084039768,48.079010068044184],[-112.7325359696715,48.07999133496199],[-112.72958065871107,48.08158750481399],[-112.72741011820034,48.0836715724462],[-112.72619717632729,48.086077693994405],[-112.72603850509884,48.088614373103894],[-112.72694688725386,48.09107969438561],[-112.72885015116837,48.09327739454145],[-112.7315968733825,48.095032492320215],[-112.73496840805262,48.09620523085556],[-112.73869629324888,48.096702218259686],[-112.73944301607004,48.09671605079407]]]}"
00000000000000000005,BAC.TRMR_Rec041_Mem099.20200831,0,22.628862123139072,0,"{""type"":""Polygon"",""coordinates"":[[[-112.70778785769163,48.10194657632977],[-112.7115516473274,48.101588360021026],[-112.71501569223484,48.10054223940229],[-112.71790415328957,48.09889152408036],[-112.71998708533931,48.096767661524055],[-112.72109874820349,48.09433975807062],[-112.72115078046026,48.091801103431116],[-112.72013919337857,48.089353775910574],[-112.7181446406626,48.087192556547244],[-112.71532595744206,48.0854894327336],[-112.71190749557633,48.08437992227084],[-112.70816127004663,48.08395230201531],[-112.70438533607314,48.084240593570655],[-112.7008801089342,48.08522186045967],[-112.69792449739997,48.08681803027219],[-112.69575373607091,48.08890209786654],[-112.69454067072733,48.091308219390314],[-112.69438198323914,48.09384489849643],[-112.69529045768303,48.09631021979689],[-112.69719391512751,48.098507919987746],[-112.69994091672955,48.10026301780687],[-112.70331279440428,48.1014357563753],[-112.70704105889368,48.10193274379493],[-112.70778785769163,48.10194657632977]]]}"
00000000000000000006,BAC.TRMR_Rec043_Mem081.20200901,0,3.7691512360184234,0,"{""type"":""Polygon"",""coordinates"":[[[-112.66609080374084,48.105718975820984],[-112.6698548696102,48.10536075950409],[-112.67331916873276,48.104314638863485],[-112.67620784172777,48.102663923512765],[-112.67829092656767,48.100540060929745],[-112.67940267092237,48.098112157460015],[-112.67945470690957,48.095573502819725],[-112.6784430455327,48.09312617531412],[-112.67644834643694,48.09096495597682],[-112.67362945641793,48.08926183219216],[-112.67021074379306,48.0881523217523],[-112.6664642434845,48.08772470150643],[-112.66268803255517,48.08801299305521],[-112.65918254829836,48.08899425992346],[-112.65622671992875,48.0905904297075],[-112.65405579930032,48.09267449727452],[-112.65284264488449,48.095080618780685],[-112.65268394566645,48.09761729788437],[-112.65359248668796,48.100082619198346],[-112.65549608374587,48.10228031941446],[-112.65824328689969,48.1040354172627],[-112.6616154120196,48.10520815585501],[-112.66534395013288,48.105705143285824],[-112.66609080374084,48.105718975820984]]]}"
00000000000000000007,BAC.TRMR_Rec044_Mem065.20200831,0,18.534927512461877,0,"{""type"":""Polygon"",""coordinates"":[[[-112.73207212202868,48.09262705512806],[-112.73583522948712,48.092268838839416],[-112.73929864659331,48.091222718274715],[-112.74218658424726,48.08957200302389],[-112.74426913897148,48.087448140533546],[-112.74538060058926,48.08502023712036],[-112.74543262363352,48.082481582482835],[-112.74442122002868,48.08003425492537],[-112.74242702880747,48.07787303549776],[-112.73960885628962,48.07616991161254],[-112.73619101369042,48.07506040109322],[-112.73244546674552,48.07463278081379],[-112.72867021673314,48.07492107238539],[-112.72516562456403,48.07590233932568],[-112.72221054851931,48.07749850920855],[-112.72004018059077,48.07958257687036],[-112.71882733521703,48.081988698437655],[-112.7186686766965,48.08452537754977],[-112.71957698672244,48.08699069881684],[-112.72148009938215,48.08918839894531],[-112.72422660323859,48.09094349669254],[-112.72759786983087,48.09211623520201],[-112.73132545858776,48.09261322259401],[-112.73207212202868,48.09262705512806]]]}"
00000000000000000008,BAC.TRMR_Rec046_Mem107.20200901,0,12.19332973426909,0,"{""type"":""Polygon"",""coordinates"":[[[-112.6702823587311,48.0966090323688],[-112.67404575762286,48.09625081607156],[-112.67750944293233,48.095204695483794],[-112.6803976041886,48.09355398020257],[-112.68248032011026,48.09143011768405],[-112.6835918677026,48.08900221425366],[-112.68364389468256,48.0864635596153],[-112.6826324126945,48.08401623207361],[-112.68063806703893,48.08185501267346],[-112.6778196763435,48.08015188881882],[-112.67440156918711,48.07904237832366],[-112.67065573234365,48.07861475805444],[-112.6668801901359,48.07890304961909],[-112.66337532670099,48.07988431653748],[-112.66042002188951,48.08148048639029],[-112.65824948589614,48.083564554023276],[-112.65703654654897,48.085970675571986],[-112.65687787565317,48.08850735468153],[-112.65778625592019,48.090972675962874],[-112.65968951587558,48.093170376117996],[-112.66243623237416,48.09492547389594],[-112.6658077600273,48.096098212430604],[-112.66953563746422,48.096595199834425],[-112.6702823587311,48.0966090323688]]]}"
00000000000000000009,BAC.TRMR_Rec050_Mem060.20200831,0,23.753660440040388,0,"{""type"":""Polygon"",""coordinates"":[[[-112.72109827433617,48.086446741067995],[-112.72486092959457,48.08608852479268],[-112.7283239305454,48.0850424042638],[-112.73121152124872,48.08339168906011],[-112.73329382585224,48.0812678266135],[-112.7344051540683,48.07883992322699],[-112.73445717100577,48.076301268590775],[-112.73344588902363,48.073853941008835],[-112.73145193742914,48.07169272153862],[-112.72863410344468,48.069989597605925],[-112.72521667134339,48.06888008704911],[-112.72147157421719,48.068452466753854],[-112.71769677758732,48.068740758336205],[-112.71419260632548,48.069722025310504],[-112.71123788524476,48.07131819524001],[-112.70906777809262,48.07340226294654],[-112.70785507853194,48.0758083845427],[-112.70769643921336,48.07834506365878],[-112.70860464025036,48.08081038490373],[-112.71050752435994,48.08300808499084],[-112.71325369827197,48.08476318269041],[-112.71662455979141,48.085935921160775],[-112.72035170062037,48.08643290853447],[-112.72109827433617,48.086446741067995]]]}"
