system:index,Deployment_ID,perc_hard_mast_200,perc_soft_mast_200,perc_total_forest_200,.geo
00000000000000000000,BAC.TRMR_Rec002_Mem049.20200901,0,56.14418350628072,0,"{""type"":""Polygon"",""coordinates"":[[[-112.65725732455397,48.086426801002865],[-112.6580098595094,48.086355167573274],[-112.65870248680451,48.086145969876604],[-112.6592800692632,48.08581586158465],[-112.65969663037473,48.085391121337416],[-112.65991901431934,48.084905560333034],[-112.65992952440843,48.084397830371415],[-112.65972733015745,48.083908346813985],[-112.65932853148321,48.08347607150342],[-112.65876487551085,48.08313541172815],[-112.6580812286446,48.08291348197215],[-112.65733200539286,48.08282794623675],[-112.65657683815351,48.08288561248758],[-112.65587583227644,48.08308189095241],[-112.655284783538,48.08340115932302],[-112.65485073813646,48.08381800583614],[-112.65460824821446,48.08429925142609],[-112.6545766208445,48.08480659018019],[-112.65475837966487,48.08529963810364],[-112.65513906209468,48.08573914763236],[-112.65568836886325,48.086090132035295],[-112.65636257487996,48.08632465091141],[-112.657108009836,48.08642403488298],[-112.65725732455397,48.086426801002865]]]}"
00000000000000000001,BAC.TRMR_Rec004_Mem102.20200831,0,36.335041938490214,0,"{""type"":""Polygon"",""coordinates"":[[[-112.68894369663975,48.0958577997309],[-112.68969636961855,48.0957861663005],[-112.69038912394733,48.09557696860165],[-112.69096681233601,48.09524686030681],[-112.69138344984141,48.094822120056904],[-112.69160587456403,48.0943365590509],[-112.69161638657195,48.09382882908919],[-112.69141415523104,48.09333934553325],[-112.69101528341317,48.092907070225294],[-112.69045152406713,48.092566410452925],[-112.68976775182537,48.09234448069922],[-112.68901839117426,48.09225894496478],[-112.68826308544567,48.09231661121495],[-112.68756195101017,48.0925128896777],[-112.68697079387516,48.09283215804546],[-112.68653666886662,48.09324900455586],[-112.686294134465,48.09373025014404],[-112.6862625012859,48.094237588897904],[-112.68644429343313,48.0947306368227],[-112.68682504567576,48.09517014635395],[-112.68737445318764,48.095521130759806],[-112.6880487828588,48.09575564963829],[-112.68879435453572,48.09585503361099],[-112.68894369663975,48.0958577997309]]]}"
00000000000000000002,BAC.TRMR_Rec014_Mem020.20200831,0,26.00569137239684,0,"{""type"":""Polygon"",""coordinates"":[[[-112.72936098858821,48.07642949644103],[-112.73011337730988,48.0763578630123],[-112.73080587001462,48.07614866531796],[-112.73138334024198,48.075818557029045],[-112.73179982041529,48.075393816784654],[-112.7320221611562,48.074908255782],[-112.7320326692123,48.07440052582046],[-112.73183051425757,48.07391104226146],[-112.73143179307795,48.07347876694812],[-112.73086824662853,48.07313810716978],[-112.73018473259584,48.072916177411365],[-112.7294356549168,48.072830641674926],[-112.72868063440482,48.072888307926455],[-112.72797976473355,48.073084586393485],[-112.72738883083971,48.0734038547671],[-112.72695486978064,48.07382070128313],[-112.72671242698418,48.07430194687493],[-112.72668080576892,48.07480928562931],[-112.72686252927997,48.07530233355133],[-112.72724313774405,48.07574184307735],[-112.72779233777655,48.076092827477225],[-112.72846641278315,48.076327346350794],[-112.72921170288535,48.07642673032118],[-112.72936098858821,48.07642949644103]]]}"
00000000000000000003,BAC.TRMR_Rec025_Mem076.20200831,0,5.502820811319065,0,"{""type"":""Polygon"",""coordinates"":[[[-112.73686119656008,48.06801963185424],[-112.73761346232973,48.067947998426234],[-112.73830584187212,48.06773880073384],[-112.73888321773636,48.06740869244749],[-112.73929962985756,48.06698395220547],[-112.73952193427317,48.066498391204284],[-112.73953244061995,48.065990661242814],[-112.73933031870517,48.06550117768247],[-112.73893166268235,48.065068902366825],[-112.73836820831883,48.06472824258591],[-112.73768480597141,48.064506312825436],[-112.73693585068855,48.06442077708814],[-112.73618095354364,48.06447844334026],[-112.73548019839299,48.06467472180913],[-112.73488936105947,48.06499399018529],[-112.7344554709148,48.06541083670375],[-112.73421306774104,48.06589208229713],[-112.73418145170061,48.06639942105172],[-112.73436314552389,48.06689246897253],[-112.73474369179826,48.06733197849633],[-112.73529280208803,48.06768296289358],[-112.73596676694251,48.06791748176502],[-112.73671193525291,48.06801686573442],[-112.73686119656008,48.06801963185424]]]}"
00000000000000000004,BAC.TRMR_Rec039_Mem094.20200831,0,15.833402541317165,0,"{""type"":""Polygon"",""coordinates"":[[[-112.73944301607004,48.0895169580329],[-112.74019559624233,48.08944532460304],[-112.74088826515401,48.08923612690566],[-112.74146588231568,48.08890601861276],[-112.74188246845407,48.088481278364654],[-112.74210486575767,48.087995717359746],[-112.74211537647538,48.0874879873981],[-112.74191317007363,48.08699850384116],[-112.74151434743732,48.086566228531446],[-112.74095065759944,48.08622556875712],[-112.74026696965981,48.08600363900188],[-112.73951770139563,48.08591810326678],[-112.73876248878682,48.0859757695174],[-112.73806144079363,48.08617204798155],[-112.73747035654415,48.08649131635122],[-112.73703628506313,48.08690816286346],[-112.73679378056949,48.08738940845282],[-112.73676215129642,48.08789674720685],[-112.73694392103477,48.08838979513074],[-112.73732462633545,48.08882930466028],[-112.73787396610784,48.08918028906418],[-112.7385482126341,48.08941480794106],[-112.73929369238029,48.089514191913004],[-112.73944301607004,48.0895169580329]]]}"
00000000000000000005,BAC.TRMR_Rec041_Mem099.20200831,0,45.75358851674641,0,"{""type"":""Polygon"",""coordinates"":[[[-112.70778785769163,48.0947474835686],[-112.70854051441718,48.09467585013828],[-112.70923325378682,48.0944666524397],[-112.7098109297015,48.0941365441452],[-112.71022755821095,48.093711803895616],[-112.71044997813168,48.0932262428898],[-112.71046048991363,48.09271851292811],[-112.71025826294034,48.092229029371985],[-112.70985939973565,48.091796754063715],[-112.7092956525626,48.091456094291004],[-112.70861189508473,48.091234164537035],[-112.70786255061337,48.09114862880248],[-112.7071072611929,48.09120629505273],[-112.70640614189607,48.09140257351572],[-112.70581499752555,48.09172184188381],[-112.70538088189132,48.092138688394535],[-112.70513835272749,48.092619933982924],[-112.70510672023245,48.093127272736815],[-112.70528850845521,48.093620320661465],[-112.70566925247687,48.09405983019241],[-112.70621864812551,48.094410814597914],[-112.70689296323546,48.09464533347612],[-112.7076385188125,48.094744717448684],[-112.70778785769163,48.0947474835686]]]}"
00000000000000000006,BAC.TRMR_Rec043_Mem081.20200901,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-112.66609080374086,48.09851988305981],[-112.66684351569228,48.098448249629165],[-112.66753630589061,48.098239051929696],[-112.66811402419,48.09790894363406],[-112.66853068326616,48.097484203383395],[-112.66875311950297,48.096998642376924],[-112.66876363205269,48.0964909124152],[-112.66856139023896,48.09600142885969],[-112.66816249776807,48.09556915355246],[-112.66759870923316,48.09522849378091],[-112.66691490159006,48.09500656402785],[-112.66616550214246,48.094921028293676],[-112.66541015730971,48.09497869454367],[-112.6647089865741,48.095174973005825],[-112.66411779883197,48.095494241372776],[-112.66368365134538,48.095911087882406],[-112.66344110438438,48.0963923334701],[-112.66340946956498,48.0968996722239],[-112.66359127112247,48.09739272014908],[-112.66397204307765,48.09783222968103],[-112.66452147903567,48.098183214087705],[-112.66519584362221,48.098417732966865],[-112.66594145390401,48.09851711693988],[-112.66609080374086,48.09851988305981]]]}"
00000000000000000007,BAC.TRMR_Rec044_Mem065.20200831,0,4.5306135141018045,0,"{""type"":""Polygon"",""coordinates"":[[[-112.7320721220287,48.085427962366886],[-112.7328246423702,48.08535632893739],[-112.73351725621498,48.08514713124095],[-112.7340948274578,48.0848170229493],[-112.73451138048073,48.084392282702346],[-112.73473376010777,48.08390672169814],[-112.73474426999368,48.08339899173653],[-112.7345420796698,48.08290950817895],[-112.73414328874,48.08247723286811],[-112.73357964371284,48.08213657309253],[-112.73289601012138,48.08191464333629],[-112.73214680141747,48.081829107600775],[-112.73139164884138,48.08188677385168],[-112.73069065657607,48.082083052316726],[-112.73009961931466,48.08240232068763],[-112.72966558234192,48.082819167201045],[-112.72942309712943,48.083300412791175],[-112.72939147037452,48.08380775154531],[-112.72957322566626,48.08430079946862],[-112.72995390070427,48.08474030899706],[-112.73050319680615,48.08509129339971],[-112.73117738973032,48.08532581227555],[-112.73192281021034,48.085425196247],[-112.7320721220287,48.085427962366886]]]}"
00000000000000000008,BAC.TRMR_Rec046_Mem107.20200901,0,4.49438202247191,0,"{""type"":""Polygon"",""coordinates"":[[[-112.67028235873109,48.08940993960762],[-112.6710349373373,48.089338306177766],[-112.67172760480761,48.08912910848042],[-112.67230522076734,48.08879900018755],[-112.67272180603891,48.08837425993947],[-112.67294420287983,48.087888698934584],[-112.67295471357576,48.08738096897293],[-112.67275250759486,48.08689148541597],[-112.67235368578848,48.086459210106234],[-112.67178999712353,48.08611855033187],[-112.67110631060648,48.085896620576605],[-112.67035704390129,48.0858110848415],[-112.66960183286385,48.08586875109212],[-112.66890078632933,48.086065029556295],[-112.66830970330977,48.086384297925996],[-112.667875632732,48.08680114443826],[-112.66763312874306,48.08728239002766],[-112.6676014995359,48.08778972878168],[-112.66778326889612,48.08828277670556],[-112.66816397340467,48.088722286235075],[-112.66871331203399,48.089073270638934],[-112.6693875571572,48.089307789515786],[-112.6701330353521,48.08940717348773],[-112.67028235873109,48.08940993960762]]]}"
00000000000000000009,BAC.TRMR_Rec050_Mem060.20200831,0,39.15500192628741,0,"{""type"":""Polygon"",""coordinates"":[[[-112.72109827433616,48.07924764830681],[-112.72185070427179,48.07917601487783],[-112.72254323490893,48.07896681718284],[-112.7231207367671,48.07863670889308],[-112.72353723975172,48.07821196864787],[-112.72375959266898,48.07772640764474],[-112.72377010129806,48.077218677683184],[-112.72356793526824,48.07672919412462],[-112.72316919224785,48.07629691881206],[-112.72260561493093,48.07595625903459],[-112.72192206346097,48.07573432927685],[-112.72117294475429,48.0756487935407],[-112.72041788288925,48.07570645979203],[-112.71971697483029,48.07590273825845],[-112.71912600856912,48.07622200663121],[-112.7186920237393,48.07663885314642],[-112.71844956766117,48.07712009873771],[-112.71841794471129,48.07762743749199],[-112.71859967817377,48.078120485414416],[-112.71898030748406,48.078559994941216],[-112.71952953759863,48.07891097934194],[-112.72020364952859,48.07914549821622],[-112.7209489804558,48.079244882186956],[-112.72109827433616,48.07924764830681]]]}"
0000000000000000000a,BAC.TRMR_Rec051_Mem036.20200831,0,35.334027055150884,0,"{""type"":""Polygon"",""coordinates"":[[[-112.72255640038064,48.085878331573284],[-112.72330892731138,48.08580669814374],[-112.72400154722071,48.085597500447214],[-112.72457912352061,48.085267392155416],[-112.72499568019057,48.08484265190834],[-112.72521806176435,48.084357090904064],[-112.72522857174188,48.08384936094244],[-112.72502637964732,48.08335987738492],[-112.72462758522566,48.08292760207421],[-112.72406393526347,48.08258694229877],[-112.72338029568658,48.08236501254264],[-112.72263108042326,48.08227947680717],[-112.7218759212357,48.08233714305805],[-112.72117492283304,48.082533421522996],[-112.72058388039682,48.08285268989376],[-112.72014983962363,48.08326953640705],[-112.71990735228769,48.083750781997104],[-112.71987572525546,48.084258120751215],[-112.72005748213822,48.0847511686746],[-112.72043816050908,48.08519067820316],[-112.72098746142044,48.085541662605934],[-112.72166166024785,48.0857761814819],[-112.7224070872549,48.085875565453414],[-112.72255640038064,48.085878331573284]]]}"
0000000000000000000b,BAC.TRMR_Rec052_Mem038.20200901,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[-112.67700222401865,48.090386482738325],[-112.67775481691565,48.09031484930839],[-112.67844749753893,48.09010565161081],[-112.67902512446655,48.08977554331764],[-112.67944171764788,48.08935080306929],[-112.67966411871092,48.08886524206423],[-112.67967462960551,48.088357512102576],[-112.67947241978435,48.08786802854578],[-112.67907359040474,48.0874357532363],[-112.67850989103657,48.087095093462246],[-112.67782619153826,48.08687316370721],[-112.67707691060689,48.08678762797221],[-112.67632168523036,48.08684529422277],[-112.67562062538504,48.08704157268671],[-112.67502953114221,48.087360841056125],[-112.67459545232201,48.08777768756811],[-112.67435294372767,48.08825893315732],[-112.67432131391905,48.088766271911325],[-112.67450308672989,48.08925931983534],[-112.67488379846681,48.08969882936512],[-112.67543314752699,48.09004981376928],[-112.67610740545327,48.09028433264639],[-112.67685289780411,48.090383716618426],[-112.67700222401865,48.090386482738325]]]}"
0000000000000000000c,BAC.TRMR_Rec058_Mem097.20200831,0,11.856639247943598,0,"{""type"":""Polygon"",""coordinates"":[[[-112.7278270578258,48.06603979098651],[-112.72857929465843,48.065968157558665],[-112.72927164756781,48.06575895986674],[-112.72984900122349,48.065428851581],[-112.73026539732847,48.06500411133953],[-112.73048769319485,48.064518550338676],[-112.73049819913935,48.06401082037722],[-112.73029608500057,48.06352133681657],[-112.72989744431254,48.063089061500385],[-112.72933401162165,48.062748401718856],[-112.72865063555959,48.0625264719579],[-112.72790170908294,48.06244093622041],[-112.72714684097274,48.06249860247266],[-112.72644611277477,48.062694880941976],[-112.72585529816695,48.06301414931874],[-112.72542142471212,48.063430995837756],[-112.72517903086364,48.06391224143151],[-112.72514741604112,48.06441958018614],[-112.72532910287732,48.06491262810667],[-112.72570963451521,48.06535213762994],[-112.72625872368383,48.065703122026584],[-112.72693266261376,48.06593764089753],[-112.72767780226022,48.06603702486669],[-112.7278270578258,48.06603979098651]]]}"
