"","Deployment_ID","prism_ppt_us_30s_202008","prism_ppt_us_30s_202009","prism_ppt_us_30s_202010","prism_ppt_us_30s_202011","prism_ppt_us_30s_202012","prism_tmean_us_30s_202008","prism_tmean_us_30s_202009","prism_tmean_us_30s_202010","prism_tmean_us_30s_202011","prism_tmean_us_30s_202012","x","y"
"1","BAC.TRMR_Rec002_Mem049.20200901",10.8838539123535,27.7228202819824,79.6954879760742,37.7619323730469,14.6137447357178,17.4831428527832,12.4172677993774,3.0868227481842,0.747698843479156,-0.614134252071381,-1245340.70536423,2896914.10417269
"2","BAC.TRMR_Rec004_Mem102.20200831",10.892614364624,27.3276062011719,77.6911010742188,35.3516235351562,13.7493276596069,17.4938583374023,12.4274578094482,3.04086065292358,0.925864517688751,-0.367957085371017,-1247503.19275152,2898353.19119652
"3","BAC.TRMR_Rec014_Mem020.20200831",11.2235698699951,31.4882488250732,94.7496795654297,44.0249481201172,17.8115425109863,17.5617980957031,12.3729734420776,2.99277448654175,0.593011736869812,-0.239244133234024,-1250868.48269952,2896775.56590351
"4","BAC.TRMR_Rec025_Mem076.20200831",11.3205709457397,34.0380554199219,104.331756591797,49.909797668457,20.8895072937012,17.7930278778076,12.4709196090698,3.0199282169342,0.416613042354584,-0.0839198157191277,-1251585.901211,2895961.48278887
"5","BAC.TRMR_Rec039_Mem094.20200831",11.3421945571899,31.4153022766113,93.9327621459961,47.7262420654297,18.0540752410889,17.5944232940674,12.3629903793335,3.01144981384277,0.595941245555878,-0.239961966872215,-1251361.4924285,2898329.00995755
"6","BAC.TRMR_Rec041_Mem099.20200831",10.9938621520996,27.8049659729004,80.8184127807617,36.9999046325684,14.3611841201782,17.4120616912842,12.3514575958252,2.99167513847351,0.84781551361084,-0.386311262845993,-1248919.09848926,2898480.2982014
"7","BAC.TRMR_Rec043_Mem081.20200901",10.8800106048584,27.3664302825928,77.3562393188477,36.2310752868652,14.0264577865601,17.4651374816895,12.4102821350098,3.04179382324219,0.793762624263763,-0.554113924503326,-1245761.54691177,2898342.16990414
"8","BAC.TRMR_Rec044_Mem065.20200831",11.2387561798096,30.6684131622314,91.6227264404297,43.4305419921875,17.0659637451172,17.579662322998,12.4094944000244,3.03630614280701,0.696202039718628,-0.207289323210716,-1250895.22667507,2897788.077718
"9","BAC.TRMR_Rec046_Mem107.20200901",10.8800926208496,27.537425994873,78.7150955200195,36.8079490661621,14.3641796112061,17.438102722168,12.3873453140259,3.04131865501404,0.758511304855347,-0.59256774187088,-1246246.78321165,2897408.25874769
"10","BAC.TRMR_Rec050_Mem060.20200831",11.0913028717041,29.9526443481445,89.059684753418,40.5162963867188,16.2689399719238,17.3573894500732,12.2832679748535,2.95956444740295,0.682162880897522,-0.402071684598923,-1250202.84505714,2896972.95672913
"11","BAC.TRMR_Rec051_Mem036.20200831",11.0978183746338,29.2961139678955,86.5045013427734,39.9324836730957,15.6975975036621,17.3608932495117,12.2884159088135,2.96317481994629,0.713368892669678,-0.416718721389771,-1250182.92698095,2897711.77741084
"12","BAC.TRMR_Rec052_Mem038.20200901",10.8738870620728,27.5913887023926,78.9347839355469,36.221263885498,14.0519857406616,17.3929195404053,12.3503360748291,3.00434398651123,0.765881359577179,-0.593154489994049,-1246725.13326549,2897602.77532765
"13","BAC.TRMR_Rec058_Mem097.20200831",11.1913776397705,32.3578186035156,98.0282592773438,45.075439453125,18.6916809082031,17.5244121551514,12.3226118087769,2.93390846252441,0.464099705219269,-0.303570598363876,-1250955.85184719,2895627.6720863
"14","BAC.TRMR_Rec063_Mem079.20200831",11.163182258606,35.8738632202148,111.804222106934,53.1704559326172,23.4783992767334,17.6862125396729,12.3489208221436,2.85017013549805,0.0688004121184349,-0.29372376203537,-1251009.28266505,2894739.09608195
"15","BAC.TRMR_Rec064_Mem061.20200831",11.3216600418091,36.6721458435059,114.620872497559,57.8022270202637,24.8365173339844,17.7650623321533,12.3443822860718,2.87623167037964,0.000635608448646963,-0.269030719995499,-1251964.88026367,2894904.63361231
"16","C06",32.1540794372559,25.6189765930176,166.107025146484,117.668426513672,276.891082763672,22.817440032959,17.8159103393555,12.5681457519531,8.05316543579102,2.03467988967896,2005512.31087385,2314213.20877302
"17","C12",32.2366714477539,25.8773860931396,165.594802856445,119.06307220459,274.464782714844,22.8013401031494,17.9414253234863,12.6416072845459,8.11364459991455,2.12162208557129,2005981.03551783,2313800.24353131
"18","CA_Forest_Pepperwood_Preserve_20_01",2.790855884552,0,0.00216062203980982,42.8539772033691,80.6856918334961,23.6130237579346,22.0992698669434,20.859432220459,11.7359437942505,9.86881446838379,-2275145.5332565,2052688.44881444
"19","CA_Forest_Pepperwood_Preserve_20_02_reupload",2.77236676216125,0,0.0622419342398643,44.0393333435059,80.8593521118164,23.8378505706787,22.5756454467773,21.4275722503662,11.7397260665894,9.80187034606934,-2274198.62761818,2052391.65280282
"20","CA_Forest_Pepperwood_Preserve_20_03",2.89536285400391,0,0.0235476046800613,42.4743347167969,80.2358779907227,23.0852546691895,21.6484146118164,20.5355529785156,11.8003282546997,9.91383266448975,-2276344.49181937,2052019.8189042
"21","CA_Forest_Pepperwood_Preserve_20_04",2.93417453765869,0,0.0209482442587614,42.9604301452637,80.3931579589844,23.7280311584473,22.3482398986816,21.2826557159424,11.8541822433472,10.0050029754639,-2275470.04024725,2051720.4966017
"22","CA_Forest_Pepperwood_Preserve_20_06",2.89591407775879,0,0.058044608682394,43.615550994873,80.7319259643555,23.8763236999512,22.6380214691162,21.6964092254639,11.878716468811,10.0037899017334,-2274508.50972862,2051442.80548338
"23","CA_Forest_Pepperwood_Preserve_20_07",2.82291698455811,0,0.0647227838635445,44.1738929748535,80.785026550293,23.8558750152588,22.6442546844482,21.5062274932861,11.8063116073608,9.89502239227295,-2273550.05332557,2051154.46259325
"24","CA_Forest_Pepperwood_Preserve_20_08",3.00637650489807,0,0.0578026957809925,43.024055480957,80.1663284301758,23.7021503448486,22.4328136444092,21.4913444519043,11.9284534454346,10.0803546905518,-2275658.48965543,2050772.74345974
"25","CA_Forest_Pepperwood_Preserve_20_09",2.92244911193848,0,0.0774473249912262,44.3093681335449,80.3757400512695,23.8640556335449,22.6947021484375,21.4690132141113,11.8805274963379,10.0473070144653,-2273842.31361418,2050194.69190285
"26","CA_Forest_Pepperwood_Preserve_20_10",3.19450664520264,0,0.122778661549091,42.5001640319824,78.2516479492188,23.234525680542,22.1151504516602,21.1816883087158,12.0723104476929,10.1975545883179,-2276283.06701059,2048797.11108411
"27","CA_Forest_Pepperwood_Preserve_20_11",2.83935236930847,0,0.035591471940279,44.8886985778809,79.7967987060547,23.9023265838623,22.6712741851807,21.3664970397949,11.757942199707,9.95759868621826,-2272859.76501377,2049905.35723991
"28","CA_Forest_Pepperwood_Preserve_20_12",2.9318995475769,0,0.0194506533443928,44.9636840820312,79.4578094482422,23.9003238677979,22.7270069122314,21.5168876647949,11.8322811126709,10.0119276046753,-2273171.39148276,2048937.17213156
"29","CA_Forest_Pepperwood_Preserve_20_13",3.26936316490173,0,0.0263485703617334,41.8337516784668,78.425178527832,22.562162399292,21.4319705963135,20.4167366027832,11.9279432296753,10.0360355377197,-2277295.51823132,2049005.63649645
"30","CA_Forest_Sierra Nevada_20_01",1.11572253704071,0.47545138001442,0,42.8274307250977,63.522102355957,24.1599216461182,21.72194480896,17.460901260376,8.12760448455811,6.38658094406128,-2047832.12701554,1852855.82134572
"31","CA_Forest_Sierra Nevada_20_02",1.11572253704071,0.47545138001442,0,42.8274307250977,63.522102355957,24.1599216461182,21.72194480896,17.460901260376,8.12760448455811,6.38658094406128,-2047749.9142966,1853076.60748772
"32","CA_Forest_Sierra Nevada_20_03",0.670315086841583,0.474823802709579,0,42.9641532897949,63.7549324035645,24.6224937438965,22.0531520843506,17.9214954376221,8.51164627075195,6.78500270843506,-2047677.89498161,1852672.19843724
"33","CA_Forest_Sierra Nevada_20_04",0.670315086841583,0.474823802709579,0,42.9641532897949,63.7549324035645,24.6224937438965,22.0531520843506,17.9214954376221,8.51164627075195,6.78500270843506,-2047602.58083489,1852409.16111676
"34","CA_Forest_Sierra Nevada_20_05",1.11572253704071,0.47545138001442,0,42.8274307250977,63.522102355957,24.1599216461182,21.72194480896,17.460901260376,8.12760448455811,6.38658094406128,-2047490.52241809,1852897.53903722
"35","CA_Forest_Sierra Nevada_20_06",0.70683366060257,0.436261713504791,0,42.568977355957,63.6304550170898,24.0033683776855,21.5894985198975,17.3153209686279,8.03363227844238,6.2567195892334,-2047324.4018147,1853128.26944355
"36","CA_Forest_Sierra Nevada_20_07",1.17729341983795,0.456766575574875,0,42.5519752502441,63.460807800293,23.6012630462646,21.2643280029297,16.8844184875488,7.69769954681396,5.89281511306763,-2047209.4522912,1853606.66644503
"37","CA_Forest_Sierra Nevada_20_08",0.670315086841583,0.474823802709579,0,42.9641532897949,63.7549324035645,24.6224937438965,22.0531520843506,17.9214954376221,8.51164627075195,6.78500270843506,-2047883.52183743,1852510.45139273
"38","CA_Grassland_Carrizo Plains_20_01",0.578259468078613,0,0,8.62806606292725,22.3463001251221,25.5421028137207,22.7142906188965,19.3932647705078,9.90937328338623,8.08440113067627,-2139923.63951109,1641973.04176538
"39","CA_Grassland_Carrizo Plains_20_02",0.964760005474091,0,0,8.90557289123535,24.8016834259033,25.3390274047852,22.4628086090088,19.0644283294678,9.78199195861816,7.92838907241821,-2144680.90275597,1637420.12449155
"40","CA_Grassland_Carrizo Plains_20_03",0.575889110565186,0,0,8.7637882232666,22.2594013214111,25.2350444793701,22.3380813598633,18.6552715301514,9.61697006225586,7.76726102828979,-2139174.45418171,1638449.39130386
"41","CA_Grassland_Carrizo Plains_20_06",0.625065326690674,0,0,8.49911689758301,22.2520446777344,25.2059364318848,22.2977981567383,18.7611656188965,9.55779552459717,7.72151851654053,-2140820.26163753,1639826.74466944
"42","CA_Grassland_Carrizo Plains_20_08",0.524979770183563,0,0,9.80772876739502,22.1625442504883,25.6458873748779,22.8533344268799,19.4683094024658,10.0996780395508,8.31599426269531,-2136994.97881414,1639162.21317638
"43","CA_Grassland_Carrizo Plains_20_09",1.02565288543701,0,0,9.04175281524658,25.169490814209,25.4768314361572,22.6093044281006,19.2760982513428,9.92175197601318,8.06759643554688,-2145070.681221,1637496.67684336
"44","CA_Grassland_Carrizo Plains_20_11",0.588307619094849,0,0,8.65362644195557,22.2013416290283,25.2053737640381,22.284782409668,18.6905097961426,9.56350040435791,7.72212553024292,-2139818.14398898,1638785.42825172
"45","CA_Grassland_Carrizo Plains_20_13",0.570641875267029,0,0,8.59810924530029,22.2029590606689,25.4473152160645,22.5899238586426,19.1939487457275,9.80861282348633,7.98349285125732,-2139938.52842488,1640993.15134739
"46","CA_Grassland_Carrizo Plains_20_14",0.554007589817047,0,0,9.02777481079102,22.0979862213135,25.3860759735107,22.5322666168213,18.9563045501709,9.80026912689209,7.97853755950928,-2138443.60302105,1638970.55475624
"47","CO_GrasslandOak_USAFA_20_01",33.6083068847656,11.1309328079224,6.46628379821777,3.0618052482605,9.83434867858887,21.1328887939453,14.9564428329468,8.40012741088867,4.87421846389771,-0.550355315208435,-760972.51958744,1807494.2137462
"48","CO_GrasslandOak_USAFA_20_03",34.193302154541,11.4096355438232,6.35737228393555,3.15638327598572,9.50100040435791,20.9009666442871,14.7619400024414,8.40225601196289,4.87804841995239,-0.324015468358994,-761314.477254689,1807534.14235172
"49","CO_GrasslandOak_USAFA_20_05",32.9376487731934,11.5361804962158,6.42430448532104,3.29581046104431,9.68810176849365,20.9111862182617,14.7534971237183,8.36614608764648,4.85022306442261,-0.353448182344437,-761578.036356674,1807849.29533712
"50","CO_GrasslandOak_USAFA_20_06",31.0845241546631,12.7527456283569,6.94057703018188,3.91370368003845,10.4898519515991,19.6318988800049,13.6198606491089,7.8012318611145,3.84163522720337,-1.27163589000702,-762835.669341094,1811391.89555181
"51","CO_GrasslandOak_USAFA_20_07",29.9137649536133,13.5316486358643,7.31935596466064,4.36601686477661,11.1973533630371,19.9091987609863,13.8212614059448,7.87679862976074,4.01747179031372,-1.14871799945831,-763196.813099243,1812362.47777099
"52","CO_GrasslandOak_USAFA_20_08",30.5144462585449,13.1441335678101,7.11593914031982,4.12330293655396,10.8322458267212,19.7671451568604,13.7199172973633,7.84091091156006,3.92453002929688,-1.21120643615723,-762976.027479285,1811759.70171065
"53","CO_GrasslandOak_USAFA_20_10",29.0940418243408,13.1438140869141,6.91158103942871,3.97129344940186,10.8975553512573,20.5923900604248,14.4309997558594,8.16116809844971,4.60457849502563,-0.47249698638916,-762364.082777637,1811486.06036559
"54","CO_GrasslandOak_USAFA_20_11",34.3558769226074,11.4754152297974,6.81418561935425,2.85327982902527,10.911527633667,21.4201068878174,15.1349849700928,8.41092109680176,4.75799226760864,-0.84970635175705,-758754.299125387,1808418.01055753
"55","CO_GrasslandOak_USAFA_20_12",34.3558769226074,11.4754152297974,6.81418561935425,2.85327982902527,10.911527633667,21.4201068878174,15.1349849700928,8.41092109680176,4.75799226760864,-0.84970635175705,-758544.406359878,1808395.02449587
"56","CO_GrasslandOak_USAFA_20_13",34.3558769226074,11.4754152297974,6.81418561935425,2.85327982902527,10.911527633667,21.4201068878174,15.1349849700928,8.41092109680176,4.75799226760864,-0.84970635175705,-758284.222536375,1808421.38136571
"57","CO_GrasslandOak_USAFA_20_14",33.8889122009277,11.7573003768921,6.98816585540771,3.02814984321594,11.4301433563232,21.5158786773682,15.1989479064941,8.46935844421387,4.76856279373169,-0.87175726890564,-758082.105339557,1808481.30938071
"58","CO_GrasslandOak_USAFA_20_15",31.0845241546631,12.7527456283569,6.94057703018188,3.91370368003845,10.4898519515991,19.6318988800049,13.6198606491089,7.8012318611145,3.84163522720337,-1.27163589000702,-762838.149571376,1810778.58933206
